URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet
https://archive.org/details/CNBC_20200127_110000_Squawk_Box#start/319/end/354,1/27/2020 11:05:34,CNBC,Squawk Box,CNBC_20200127_110000_Squawk_Box,https://archive.org/download/CNBC_20200127_110000_Squawk_Box/CNBC_20200127_110000_Squawk_Box.thumbs/CNBC_20200127_110000_Squawk_Box_000299.jpg,"falling sharply as rise of coronavirus rising sparking demand for official. overnight chinese officials said there are more than be 2800 cases of the fast-spreading coronavirus. the virus has spread"
https://archive.org/details/CNBC_20200127_110000_Squawk_Box#start/2933/end/2968,1/27/2020 11:49:08,CNBC,Squawk Box,CNBC_20200127_110000_Squawk_Box,https://archive.org/download/CNBC_20200127_110000_Squawk_Box/CNBC_20200127_110000_Squawk_Box.thumbs/CNBC_20200127_110000_Squawk_Box_002908.jpg,"there are now more than 2800 confirmed cases of the fast-spreading coronavirus the same as sars, same as the cold virus rhinovirus is a coronavirus. the death toll rose to 81."
https://archive.org/details/CNBC_20200123_140000_Squawk_on_the_Street#start/5533/end/5568,1/23/2020 15:32:28,CNBC,Squawk on the Street,CNBC_20200123_140000_Squawk_on_the_Street,https://archive.org/download/CNBC_20200123_140000_Squawk_on_the_Street/CNBC_20200123_140000_Squawk_on_the_Street.thumbs/CNBC_20200123_140000_Squawk_on_the_Street_005519.jpg,"virus. wuhan shut down all forms of transportation in and out of that city. several other cities were also locked down. 17 people have died from the virus and 571 people have been sickened by the coronavirus."
https://archive.org/details/CNBC_20200129_100000_Worldwide_Exchange#start/3424/end/3459,1/29/2020 10:57:19,CNBC,Worldwide Exchange,CNBC_20200129_100000_Worldwide_Exchange,https://archive.org/download/CNBC_20200129_100000_Worldwide_Exchange/CNBC_20200129_100000_Worldwide_Exchange.thumbs/CNBC_20200129_100000_Worldwide_Exchange_003418.jpg,"there. you mention the coronavirus some saying we've hit 5000 cases of the coronavirus faster than we hit that in the sars virus. maybe this is going to be more serious than we thought. do you think chairman powell"
https://archive.org/details/CNBC_20200130_160000_Squawk_Alley#start/1382/end/1417,1/30/2020 16:23:17,CNBC,Squawk Alley,CNBC_20200130_160000_Squawk_Alley,https://archive.org/download/CNBC_20200130_160000_Squawk_Alley/CNBC_20200130_160000_Squawk_Alley.thumbs/CNBC_20200130_160000_Squawk_Alley_001379.jpg,"over the past two weeks to prevent the risk of coronavirus with added screenings. both carnival and royal caribbean have suspended sailings in china. no confirmed case of coronavirus, but those fears and concern around this virus of"
https://archive.org/details/CNBC_20200121_200000_Closing_Bell#start/325/end/360,1/21/2020 20:05:40,CNBC,Closing Bell,CNBC_20200121_200000_Closing_Bell,https://archive.org/download/CNBC_20200121_200000_Closing_Bell/CNBC_20200121_200000_Closing_Bell.thumbs/CNBC_20200121_200000_Closing_Bell_000300.jpg,"first of all your again ral take on what we know about this virus and how concerned we should be it's concerning coronavirus generally isn't that virulent when you see a new virus starting to be spread in a"
https://archive.org/details/CNBC_20200127_220000_Fast_Money#start/2549/end/2584,1/27/2020 22:42:44,CNBC,Fast Money,CNBC_20200127_220000_Fast_Money,https://archive.org/download/CNBC_20200127_220000_Fast_Money/CNBC_20200127_220000_Fast_Money.thumbs/CNBC_20200127_220000_Fast_Money_002548.jpg,"looly closed lower and hasn't looked back. this was well before any coronavirus. wti was at $66 i mean this is a big move down in the last couple weeks well before the virus came along. before all this virus stuff came out about three weeks ago"
https://archive.org/details/CNBC_20200123_190000_Power_Lunch#start/387/end/422,1/23/2020 19:06:42,CNBC,Power Lunch,CNBC_20200123_190000_Power_Lunch,https://archive.org/download/CNBC_20200123_190000_Power_Lunch/CNBC_20200123_190000_Power_Lunch.thumbs/CNBC_20200123_190000_Power_Lunch_000388.jpg,"virus? joining us now is coronavirus expert, founding director of emerging infectious diseases at walter reed army institute of research"
https://archive.org/details/CNBC_20200123_090000_Street_Signs#start/707/end/742,1/23/2020 9:12:02,CNBC,Street Signs,CNBC_20200123_090000_Street_Signs,https://archive.org/download/CNBC_20200123_090000_Street_Signs/CNBC_20200123_090000_Street_Signs.thumbs/CNBC_20200123_090000_Street_Signs_000690.jpg,"down all in and out going flights to deal with the coronavirus. the virus has so far killed 17 people several hundred cases have been"
https://archive.org/details/CNBC_20200122_110000_Squawk_Box#start/6952/end/6987,1/22/2020 12:56:07,CNBC,Squawk Box,CNBC_20200122_110000_Squawk_Box,https://archive.org/download/CNBC_20200122_110000_Squawk_Box/CNBC_20200122_110000_Squawk_Box.thumbs/CNBC_20200122_110000_Squawk_Box_006929.jpg,"humanity. let's talk about the u.s. bio tech company working with federal health officials to develop a vaccine for the coronavirus. the first united states based case involving that virus which"
https://archive.org/details/CNBC_20200129_090000_Street_Signs#start/744/end/779,1/29/2020 9:12:39,CNBC,Street Signs,CNBC_20200129_090000_Street_Signs,https://archive.org/download/CNBC_20200129_090000_Street_Signs/CNBC_20200129_090000_Street_Signs.thumbs/CNBC_20200129_090000_Street_Signs_000720.jpg,"at the beginning of the week when the coronavirus first emerges are subsiding. we have to see how the virus pans out coming up, the iphone makes a come back."
https://archive.org/details/CNBC_20200129_090000_Street_Signs#start/947/end/982,1/29/2020 9:16:02,CNBC,Street Signs,CNBC_20200129_090000_Street_Signs,https://archive.org/download/CNBC_20200129_090000_Street_Signs/CNBC_20200129_090000_Street_Signs.thumbs/CNBC_20200129_090000_Street_Signs_000929.jpg,". welcome back the boss of lvmh has said it is still too early to assess the consequences of the coronavirus but has acknowledged they could be significant if the virus"
