URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet
https://archive.org/details/BBCNEWS_20200124_140000_Afternoon_Live#start/4094/end/4129,1/24/2020 15:08:29,BBCNEWS,Afternoon Live,BBCNEWS_20200124_140000_Afternoon_Live,https://archive.org/download/BBCNEWS_20200124_140000_Afternoon_Live/BBCNEWS_20200124_140000_Afternoon_Live.thumbs/BBCNEWS_20200124_140000_Afternoon_Live_004078.jpg,"was a “- name. coronavirus, the stars virus was a -- the sars virus was a coronavirus. it has a particular genetic make-up that possibly from snakes or other animals in the wet"
https://archive.org/details/BBCNEWS_20200120_010000_Newsday#start/156/end/191,1/20/2020 1:02:51,BBCNEWS,Newsday,BBCNEWS_20200120_010000_Newsday,https://archive.org/download/BBCNEWS_20200120_010000_Newsday/BBCNEWS_20200120_010000_Newsday.thumbs/BBCNEWS_20200120_010000_Newsday_000328.jpg,"the sars or mers virus? it is called the coronavirus virus. until sars, sars is severe and they cause multiple deaths. this new coronavirus is much less severe and for sars, we had also showing liver cancer and other diseases."
https://archive.org/details/BBCNEWS_20200123_050000_The_Briefing#start/108/end/143,1/23/2020 5:02:03,BBCNEWS,The Briefing,BBCNEWS_20200123_050000_The_Briefing,https://archive.org/download/BBCNEWS_20200123_050000_The_Briefing/BBCNEWS_20200123_050000_The_Briefing.thumbs/BBCNEWS_20200123_050000_The_Briefing_000087.jpg,"the authorities there try to control the spread of a new virus. now, the way it has been described as an ammonia like virus, they are calling it coronavirus, and in wuhan, which isa it coronavirus, and in wuhan, which is a heavily populated city, there"
https://archive.org/details/BBCNEWS_20200126_213000_Our_World#start/556/end/591,1/26/2020 21:39:31,BBCNEWS,Our World,BBCNEWS_20200126_213000_Our_World,https://archive.org/download/BBCNEWS_20200126_213000_Our_World/BBCNEWS_20200126_213000_Our_World.thumbs/BBCNEWS_20200126_213000_Our_World_000537.jpg,"typically found in bats. the sars virus and the mers virus, if you look at a genetic family tree, this virus, this coronavirus sits right between them and very close to sars. it is a zoonotic disease"
https://archive.org/details/BBCNEWS_20200120_000000_Newsday#start/635/end/670,1/20/2020 0:10:50,BBCNEWS,Newsday,BBCNEWS_20200120_000000_Newsday,https://archive.org/download/BBCNEWS_20200120_000000_Newsday/BBCNEWS_20200120_000000_Newsday.thumbs/BBCNEWS_20200120_000000_Newsday_000627.jpg,"oi' to try to know more. is it as severe or the sars virus? it is called the coronavirus virus. until sars, sars is severe and they cause multiple"
https://archive.org/details/BBCNEWS_20200129_090000_BBC_News_at_9#start/360/end/395,1/29/2020 9:06:15,BBCNEWS,BBC News at 9,BBCNEWS_20200129_090000_BBC_News_at_9,https://archive.org/download/BBCNEWS_20200129_090000_BBC_News_at_9/BBCNEWS_20200129_090000_BBC_News_at_9.thumbs/BBCNEWS_20200129_090000_BBC_News_at_9_000357.jpg,"introduction, the chinese now sharing information with the world health organization in the hope that it will lead to treatments for the coronavirus. but authorities saying it could be ten days until this virus peaks. virus pea ks. give virus peaks. give us more detail on"
https://archive.org/details/BBCNEWS_20200130_040000_BBC_News#start/285/end/320,1/30/2020 4:05:00,BBCNEWS,BBC News,BBCNEWS_20200130_040000_BBC_News,https://archive.org/download/BBCNEWS_20200130_040000_BBC_News/BBCNEWS_20200130_040000_BBC_News.thumbs/BBCNEWS_20200130_040000_BBC_News_000268.jpg,"virus itself. so this coronavirus to date seems to be less severe than sars, though it is premature to have a full understanding of how significant this virus might be."
https://archive.org/details/BBCNEWS_20200122_140000_Afternoon_Live#start/7924/end/7959,1/22/2020 16:12:19,BBCNEWS,Afternoon Live,BBCNEWS_20200122_140000_Afternoon_Live,https://archive.org/download/BBCNEWS_20200122_140000_Afternoon_Live/BBCNEWS_20200122_140000_Afternoon_Live.thumbs/BBCNEWS_20200122_140000_Afternoon_Live_007919.jpg,"at the age of 77. flights into the uk from the chinese city of wuhan are now being monitored amid concerns that a new virus, the coroner virus, could spread to britain -- coronavirus.       _"
https://archive.org/details/BBCNEWS_20200123_210000_Outside_Source#start/173/end/208,1/23/2020 21:03:08,BBCNEWS,Outside Source,BBCNEWS_20200123_210000_Outside_Source,https://archive.org/download/BBCNEWS_20200123_210000_Outside_Source/BBCNEWS_20200123_210000_Outside_Source.thumbs/BBCNEWS_20200123_210000_Outside_Source_000149.jpg,"and breathing difficulties. the sars virus or severe acute respiratory syndrome, that killed nearly 800 people globally in the early 2000s was also a coronavirus, as is the common cold. understanding how the virus"
https://archive.org/details/BBCNEWS_20200126_010000_BBC_News#start/431/end/466,1/26/2020 1:07:26,BBCNEWS,BBC News,BBCNEWS_20200126_010000_BBC_News,https://archive.org/download/BBCNEWS_20200126_010000_BBC_News/BBCNEWS_20200126_010000_BBC_News.thumbs/BBCNEWS_20200126_010000_BBC_News_000418.jpg,"spread of the coronavirus, i am joined by a senior scholar from johns hopkins. do we know how the virus spreads? well, we know that it isa virus spreads? well, we know that it"
